"pop","race","age","education","income","healthcare","native","state","county","TRACTCE"
"4660","90.3","4.1","52.9","1.0","78.4","27.3","50","007","000500"
"5731","89.2","14.8","45.1","2.2","74.8","49.6","50","007","002601"
"5055","97.9","13.2","64.9","8.3","86.6","50.5","50","007","002800"
"3617","58.4","7.3","45.1","1.1","58.6","25.9","50","007","000300"
"5187","88.5","9.9","64.4","3.9","76.0","29.6","50","007","000600"
"8024","96.3","13.4","18.6","2.6","72.4","73.9","50","007","002102"
"8207","93.3","8.2","37.7","4.1","75.7","51.3","50","007","002200"
"3324","82.0","7.7","35.2","0.0","54.1","32.0","50","007","000400"
"2331","84.1","14.6","49.9","6.8","61.2","30.8","50","007","001000"
"3201","74.3","9.2","23.7","0.5","42.5","53.8","50","007","002400"
"6425","96.5","14.1","49.9","8.0","83.3","52.1","50","007","002900"
"4128","95.3","10.4","51.0","7.6","86.4","57.5","50","007","003000"
"7677","96.3","21.9","66.2","20.2","85.9","46.3","50","007","003400"
"4386","78.7","14.2","34.2","3.7","58.7","52.1","50","007","000100"
"5190","96.1","11.5","42.6","10.0","72.4","57.1","50","007","003502"
"5783","90.0","16.5","51.5","8.7","82.2","50.9","50","007","002701"
"1951","98.8","12.4","42.3","6.0","72.8","59.7","50","007","003503"
"2176","89.6","12.5","60.7","7.6","73.3","36.9","50","007","001100"
"2568","87.7","8.7","68.8","4.0","80.8","40.2","50","007","000800"
"4002","86.1","10.7","39.7","1.4","66.4","44.8","50","007","002500"
"4401","86.2","11.0","49.0","5.1","78.4","49.9","50","007","002602"
"3818","98.2","14.2","74.9","27.5","84.8","38.2","50","007","003501"
"5449","87.6","24.6","45.0","8.9","71.8","44.0","50","007","000200"
"2737","96.3","11.8","42.8","5.3","84.1","60.1","50","007","002101"
"9341","93.3","14.8","59.4","7.5","85.2","41.7","50","007","003100"
"4986","96.9","14.1","58.3","8.3","84.5","47.4","50","007","002702"
"2731","93.5","11.8","73.4","7.2","72.0","26.9","50","007","000900"
"6024","90.8","3.0","74.7","8.4","91.9","19.7","50","007","003900"
"3957","89.8","18.8","66.4","21.7","88.1","40.7","50","007","003301"
"4622","85.9","20.1","43.9","4.5","84.4","43.7","50","007","004002"
"2319","95.5","9.8","43.1","11.7","84.6","55.8","50","007","002301"
"4235","93.7","18.0","47.2","1.5","76.6","48.1","50","007","003600"
"5959","90.0","22.4","58.9","6.8","75.8","44.4","50","007","003304"
"6783","95.8","15.9","41.8","8.2","76.6","59.3","50","007","002302"
